,sentence
36,"Zij doen dit na het inwinnen van een aantal adviezen, waaronder brandpreventieadvies van de brandweer."
37,"Een van de vereiste documenten die je toevoegt aan jouw aanvraag tot omgevingsvergunning, is het formulier bijlage brandweer - aanvraag omgevingsvergunning. formulier bijlage brandweer - aanvraag omgevingsvergunning .pdf 1.1 MB Hoe dien je een dossier in?"
38,De aanvrager wordt via het Omgevingsloket op de hoogte gehouden van alle stappen en beslissingen.
39,Hier vind je meer informatie hoe je in 5 stappen een dossier digitaal kan indienen .
40,"Het doel van een milieueffectrapportage is om de mogelijke gevolgen van plannen, programma's of ..."
41,Dien hier jouw aanvraag in het Omgevingsloket in Start Papier Slechts in uitzonderlijke gevallen kan nog een dossier op papier worden ingediend.
42,Hierbij worden ook concrete instructies meegegeven voor verdere stappen.
43,Lees meer over het indienen op papier Start Wat gebeurt er met de aanvraag voor een omgevingsvergunning?
44,Afhankelijk van de aard van jouw dossier beslist de overheid welke van de twee onderstaande procedures gevolgd moet worden.
45,Gewone procedure Vereenvoudigde procedure Hoe lang blijft jouw omgevingsvergunning geldig?
46,In geval van overmacht kan de termijn om de werken te starten met 2 jaar worden verlengd.
47,Het gebouw moet uiterlijk 5 jaar na aflevering van de vergunning winddicht zijn.
48,Het verkrijgen van een omgevingsvergunning verplicht je niet om deze ook uit te voeren.
49,De vergunning vervalt als de inrichting is vernield door brand of explosie t.g.v. de exploitatie.
50,De vergunning vervalt bij vrijwillige en definitieve stopzetting van een mestproducerend bedrijf.
51,"De parkeerzone voor bewoners en vergunninghouders ligt tussen de Brouwersvliet en Ankerrui in het noorden, de Leien in het oosten, de Scheldestraat, Kronenburgstraat en Kasteelpleinstraat in het zuiden, en de Schelde in het westen."
52,Dat kan je met een parkeervergunning voor bewoners nog steeds gratis en onbeperkt parkeren in je bewonerszone (niet in de volledige nieuwe parkeerzone).
53,"Nieuw is wel de bezoekerspas , die je enkel kan aanvragen als je gedomicilieerd bent in de nieuwe parkeerzone."
54,Parkeren als bezoeker Als bezoeker (zonder bezoekerspas) kan je sinds 1 augustus 2023 niet meer op straat parkeren binnen de zone voor vergunninghouders.
55,"Je kan wel nog steeds het centrum bereiken via tram, bus, trein, taxi, DeWaterbus, deelmobiliteit of (elektrische)fiets."
56,Parkeer dan in één van de 9 park-and-rides aan de stadsrand of in een publieke betaalparking in het stadscentrum.
57,Gebruik de routeplanner van Slim naar Antwerpen en stippel je route vooraf uit.
58,"Parkeren met een parkeerkaart voor personen met een handicap Je kan overal in Antwerpen nog steeds gratis parkeren, op voorwaarde dat je je nummerplaat vooraf eenmalig registreert ."
59,"Buiten de winkeluren, op zon-en feestdagen en op 11 juli, kan je zowel parkeren op de voorbehouden plaatsen als op alle andere plaatsen."
60,Parkeren als ondernemer Woon je ook in de zone voor bewoners en vergunninghouders?
61,Dan kan je met een parkeervergunning voor bewoners in jouw bewonerszone blijven parkeren.
62,Ben je als ondernemer niet gedomicilieerd in de zone voor bewoners en vergunninghouders?
63,Kijk dan na of voor jouw beroepscategorie een parkeervergunning voor ondernemingen kan worden aangevraagd.
64,"Je kan ook afspraken maken met de bewoner(s) waarvoor je werken komt uitvoeren, zij kunnen een bezoekerspas voor jou aanvragen of parkeerverbodsborden laten plaatsen."
65,"Parkeren als zorgverstrekker Verpleeg- en zorgkundigen, vroedvrouwen, kinesisten en artsen kunnen sinds 1 augustus 2023 een parkeervergunning voor zorgverstrekkers aankopen."
66,Met deze vergunning kan je in alle parkeer- en tariefzones parkeren. ​ Koop een parkeervergunning voor zorgverstrekkers .
67,"Parkeren met een deelwagen Gebruik je een deelwagen van een professionele aanbieder (Poppy, Cambio, Green Mobility of Miles Mobility)?"
68,"Dan kan je nog altijd in heel de stad, inclusief de parkeerzone voor bewoners en vergunninghouders, parkeren."
69,Dan kan je nog altijd gratis en zonder tijdslimiet in je eigen bewonerszone parkeren.
70,Parkeren en elektrisch laden Rij je met een elektrische auto en wil je parkeren aan een publieke laadpaal in het historisch centrum?
71,Bezoekers van bewoners (met bezoekerspas) mogen max. 3u parkeren en elektrisch laden.
72,Behalve op zon-en feestdagen (mits geldige vergunning of bezoekerspas).
73,"Wie geen geldige parkeervergunning of bezoekerspas heeft, kan elektrisch opladen aan de laadpalen op publieke parkings ​."
74,Het parkeergeleidingssysteem in de stad toont je de weg naar deze laadpunten.
75,Buiten de winkeluren kunnen enkel bewoners en vergunninghouders parkeren in de Nationalestraat.
76,Laden en lossen Laden en lossen is nog steeds toegestaan in de parkeerzone voor bewoners en vergunninghouders.
77,Laden en lossen is de tijd nodig om goederen in of uit te laden of personen in of uit te laten stappen.
78,Verhuis en werken Je kan in de parkeerzone nog steeds parkeerverbodsborden of werfsignalisatie aanvragen voor verhuis of bouwwerken.
79,Lees meer Parkeerzones en parkeertarieven Iets fout of onduidelijk op deze pagina?
80,Hier vind je een duidelijk overzicht van kleine werken op en rond een gebouw waarvoor je in bepaalde gevallen een melding indient.
81,"Wees extra aandachtig voor werken aan de achter- of zijgevel van panden die gelegen zijn in CHE-gebied (culturele, historische en/of esthetische waarde) of opgenomen in de Inventaris van bouwkundig erfgoed. (Hou rekening met artikel 5 van de Bouwcode)."
82,Voor de exploitatie van een ingedeelde inrichting of activiteit klasse 3 (vroegere milieuvergunning) volstaat een melding.
83,Meldingen voor exploitatie van ingedeelde inrichting of activiteit kan je indienen via het Omgevingsloket .
84,Alle informatie over de te nemen stappen en verdere communicatie verloopt via het Omgevingsloket . ​ Wat gebeurt er met jouw melding?
85,"Er wordt eerst gekeken door de dienst Vergunningen van de stad Antwerpen of het dossier volledig is, of het bij de juiste overheid werd ingediend en of het meldingsplichtig is."
86,Binnen de twintig dagen (voor meldingen met enkel exploitatie van ingedeelde inrichtingen of activiteiten) of dertig dagen (andere meldingen) worden deze stappen doorlopen en ontvang je bericht of er akte werd genomen van de melding of niet.
87,Er wordt vermeld wat er verkeerd is en welke stappen de melder verder moet ondernemen.
88,Je mag het project uitvoeren of exploiteren vanaf de dag na betekening van de meldingsakte of de dag na het verstrijken van de beslissingstermijn (stilzwijgende aktename).
89,"Standaard mag de melder starten met de werken, tenzij er expliciet wordt gemeld dat de handelingen of werken moeten worden stilgelegd."
90,De vervaltermijnen vind je in art. 99 t.e.m. 101 van het Omgevingsvergunningendecreet .
91,"Je ouders, kinderen en/of partner hebben ook niet voldoende inkomen om de opname te betalen."
92,"We onderzoeken je financiële situatie, inclusief de onderhoudsplicht van je familie."
93,Een maatschappelijk werker bekijkt samen met jou of je aan de voorwaarden voldoet.
94,Daarvoor bieden we verschillende tools waarmee medewerkers actief aan de slag kunnen.
95,"Onze interne opleidingen bouwen de vaardigheden en kennis op die je nodig hebt, en geven tegelijk de waarden mee die we als organisatie uitdragen."
96,Daarom ziet brandtoezicht erop toe dat de brandveiligheidsvoorschriften in de politiecodex nageleefd worden.
97,"Gaslek Heb je een vermoeden van een gaslek, meld dit dan bij Fluvius op het nummer 0800 65 0 65 ."
98,"Lees meer over de handhaving, voorbeelden en het melden van een overtreding."
99,"Privacyverklaring De gegevens die je opgeeft in het formulier, worden alleen gebruikt in het kader van deze aanvraag."
100,Spreekt burenbemiddeling jou aan en wil je graag vrijwillig bemiddelaar worden?
101,Burenbemiddelaar worden Meer info Heb je een andere vraag over burenbemiddeling?
102,Gerelateerd Privacyverklaring burenbemiddeling Iets fout of onduidelijk op deze pagina?
103,Alle opvanginitiatieven ontvangen nog een uitnodiging per overlegmoment.
104,"Scholenoverzicht Overzicht van alle buitengewone kleuterscholen, lagere scholen en basisscholen."
105,"Stedelijk Onderwijs Overzicht van alle buitengewone kleuter-, lagere, basis- en secundaire scholen ingericht door de stad Antwerpen."
106,Leerlingenvervoer Vind de meest gepaste en nabije scholen voor je kind en waar het recht heeft op vervoersondersteuning.
107,Schoolkeuze voor nieuwkomers Atlas biedt ondersteuning voor nieuwkomers bij het zoeken van een school.
108,"Dat kan met toegankelijke bushaltes, taxicheques, voorbehouden parkeerplaatsen, blindegeleidelijnen … Kom makkelijker naar Antwerpen met deze vervoerskansen."
109,Ontdek alle Toegankelijke vervoersmogelijkheden | Slim naar Antwerpen .
110,"Afhankelijk van jouw situatie, kan het zijn dat je korting krijgt of zelfs gratis reist met tram of bus."
111,Zo kan je op ruime plaatsen parkeren die voorbehouden zijn voor personen met een beperking .
112,Vul het formulier in op Parkeerkaart voor personen met een beperking | stad Antwerpen .
113,Bestaat er nog geen voorbehouden pl aats dichtbij je woning of werkplek ?
114,Dan kan je een voorbehouden parkeerplaats aanvragen via Parkeerplaats voor personen met een beperking | stad Antwerpen Met de taxi Heb je een beperking?
115,Met vervoer op maat Heb je hulp nodig in je zoektocht naar het juiste vervoer?
116,Dan kan je terecht bij d e Mobiliteitscentrale (MAV) van provincie Antwerpen.
117,"Zij wijzen je snel de juiste weg via het openbaar vervoer, vervoerders met aangepaste liftbussen of vrijwilligerswerkingen zoals de Minder Mobiele Centrale ."
118,De blindegeleidelijnen helpen je om je weg te vinden door hindernissen te detecteren en te oriënteren.
119,Je vindt het Antwerps blindegeleideplan op Blindegeleidelijnen in stad Antwerpen .
120,"Deze organisatie werkt samen met scholen, Centra voor Leerlingenbegeleiding (CLB’s), ouders, opvanginitiatieven, lokale overheden en andere partners."
121,Toegankelijke toiletten Bekijk het overzicht van toegankelijke openbare toiletten .
122,Hier lees je meer over de financiële gegevens die je nodig hebt voor je aanvraag.
123,"Dat document kan je digitaal opvragen via MyMinfin , in het mapje mijn documenten."
124,Dat is de som van alle inkomsten die je verdient in een specifiek jaar.
125,Het zijn 2 aparte onderdelen om in te vullen in het inschrijvingsformulier.
126,Leefloon Je krijgt leefloon als je niet genoeg inkomsten hebt en je situatie niet kan veranderen.
127,Geef dan in het inschrijvingsformulier aan ‘ik heb nog geen aanslagbiljet voor een volledig werkjaar’.
128,Geef dan in het formulier aan ‘ik heb nog geen aanslagbiljet voor een volledig werkjaar’.
129,"De stad organiseert ook omstaanderstrainingen voor horeca, stadsmedewerkers en partners."
130,Want samen staan we sterker en maken we van de stad Antwerpen een veilige plek.
131,"Daar kan je deelnemen aan leuke workshops, georganiseerd door Blidscap VZW en Bikeaholic ."
132,Je kan dan ook oude spullen naar het mini recyclagepunt brengen (bekijk hier wat je allemaal kan meenemen).
133,Gelijktijdig geniet je ter plaatse van muziek of een heerlijk hapje aan de foodtrucks.
134,"Alle deelnemers aan de zwerfvuilactie ontvangen er vuilniszakken en grijpers, kiezen een route uit en trekken er vervolgens op uit om Berendrecht en Zandvliet p roper te maken."
135,Kom indien mogelijk met de fiets of te voet zodat je vlot je gekozen route bereikt.
136,Hieronder vind je een overzicht van alle literaire gesprekken en leesclubs die plaatsvinden in Bibliotheek Bist.
137,Functie en werking bijzonder comité voor de sociale dienst De bijzondere comités nemen beslissingen over dossiers van klanten.
138,In beroep gaan tegen een beslissing van het subcomité Elke klant van een sociaal centrum mag in beroep gaan tegen een beslissing van een subcomité.
139,Zittingen en besluiten vast bureau OCMW Voor het vast bureau is er geen vast vergadermoment.
140,Zittingen en besluiten voorzitter vast bureau OCMW De voorzitter van het vast bureau plant een zitting wanneer dat nodig is.
141,"Wat veel mensen niet weten, is dat die toen stopte aan het Albertkanaal."
142,"Ook voor workshops ben je hier aan het juiste adres. meer lezen Meer laden Om verder te gaan, dient u JavaScript te activeren."
143,Het grindgazon is net ingezaaid en mag dus eventjes niet betreden worden.
144,Een nieuw wandelpad in grindgazon moet zorgen voor een betere wandelkwaliteit in het Veltwijckpark.
145,De groendienst zaaide het nieuwe gras op het wandelpad van het A-terrein net opnieuw in.
146,Omdat het gras tijd nodig heeft om goed te ontkiemen en groeien zal het wandelpad gedurende een periode van ongeveer 6 weken niet toegankelijk zijn.
147,We vragen jullie dan ook om het pad tijdelijk niet te gebruiken zodat iedereen achteraf kan genieten van een extra stukje groen.
148,"Van het prille begin en de helden van ons politiekorps tot adellijke families, burgemeesters en andere interessante personen."
149,"Het boek Elke straat heeft een naam, maar wat gaat er achter die naam schuil?"
150,"Schrijver René De Preter dook in de geschiedenis en die zoektocht leverde een hoop algemene, Antwerpse en Deurnse geschiedenis op."
151,"Daarnaast is Deurne is niet gespaard gebleven van opstanden, bezettingen en oorlogen, en zijn straten die daaraan herinneren."
152,De schrijver René De Preter is econoom en schreef al enkele werken over economische en maatschappelijke thema's.
153,De Preter was bijna 30 jaar lid van de Deurnse districtsraad en hij was er ook voorzitter van.
154,Op 5 en 6 oktober kan het publiek deze gratis expo bekijken en een stem uitbrengen voor de publieksprijs.
155,De jury beoordeelt alle 65 werken en selecteert 25 winnaars die in 2025 mogen exposeren.
156,Daarnaast is de expo op zaterdag 5 en zondag 6 oktober open voor het grote publiek en alle bezoekers kunnen hun stem uitbrengen.
157,De exposanten leren in een gemoedelijke sfeer de andere deelnemende kunstenaars kennen en dit wordt de start van de ontginning van alle culturele spots in Deurne.
158,Ook dit jaar is er een publieksprijs en elke bezoeker kan zijn/haar stem uitbrengen.
159,Jury De jury beoordeelt alle werken en selecteert 25 winnaars die in 2025 mogen exposeren.
160,Het idee voor een kunstinstallatie ontwikkelt zij op de plek zelf na een uitgebreide observatie.
161,Zij studeerde productontwikkeling en werkt met de kwaliteiten van materialen.
162,Haar wilgenkunstwerken zijn vaak groeiende structuren en worden wel eens als participatief burgerproject gerealiseerd.
163,"Sergio De Beukelaer Sergio De Beukelaer is geboren en getogen in Deurne en een hedendaagse abstracte schilder die zijn praktijk toepast in tekeningen, schilderijen, sculpturen en installaties, ..."
164,Als stichtend lid van Kapitein Winokio reisde ze mee als mevrouw de Pauw en de poes.
165,Later richtte ze haar eigen gezelschappen vzw Karton en Theater M u s t op.
166,Ze creëerde sociaal artistieke projecten voor kinderen en coachte ze jeugdgezelschappen.
167,Literaire monsters duiken in de wereld van de boekdrukkunst en Halloween fans kunnen komen knutselen tijdens 't Velt Frult.
168,"Wie liever buiten ravot, ontvangen we graag tijdens 't Velt Vliegt Uit!"
169,Workshop Drama Lama Echte podiumbeesten en clowns zijn welkom tijdens de workshop Drama Lama!
170,"JC 't Velt, Veltwijcklaan 19 Deze knutselmomenten zijn gratis , inschrijven is niet nodig. 't Velt Vliegt Uit Echte speelvogels en sportbeesten mogen zich komen uitleven tijdens onze speelmiddagen."
171,"JC 't Velt, Veltwijcklaan 19 Komen spelen is gratis , inschrijven is niet nodig."
172,Ieder jaar is de regenboogvlag rond deze periode overal in de stad te zien.
173,Daarnaast rijden maar liefst 700 Velo deelfietsen rond met regenboogvlagstickers.
174,"De bestaande verlichting van gebouwen, pleinen en parken wordt vanaf dinsdag 30 juli in regenboogkleuren gezet."
175,"Onder andere het Operagebouw, het station Antwerpen-Centraal, Het Steen, DIVA, de Scheldekaaien, het Museum Plantin-Moretus, het Harmoniepark, het Zuidpark, de Sint-Paulusplaats, de Wintergang in het Groen Kwartier, het Kattendijkdok en het plein voor het MAS zullen de komende weken in regenboogkleuren verlicht zijn."
176,Ook het Havenhuis en de Bourlaschouwburg worden voorzien van regenboogverlichting.
177,Allemaal Antwerpenaar Deze extra inspanning voor Antwerp Pride ligt in lijn met de campagne ‘Allemaal Antwerpenaar’.
178,Hiermee wil de organisatie iedereen verenigen achter de regenboogvlag om de LGTBQIA+ gemeenschap te steunen bij de uitdagingen en obstakels in de huidige maatschappij.
179,Programma Antwerp Pride De Antwerp Pride wordt op woensdag 7 augustus afgetrapt met een openingsfeest in OLT Rivierenhof .
180,Bekijk het volledige programma van Antwerp Pride op www.antwerppride.com .
181,Geen tijd om de fiscale voordelen uit te spitten of de verbouwing op te nemen?
182,Het Pandschap zoekt daarom eigenaars met een pand in Antwerpen die dit zorgeloos willen laten renoveren en nadien verhuren via Woonhaven Antwerpen.
183,Het Pandschap houdt onverwachte kosten onder controle door onnodige renovatiekosten te schrappen.
184,Door de unieke werkwijze vallen een aantal kosten weg en kies je als eigenaar gemakkelijker voor functionele en budgetvriendelijke kwaliteitsmaterialen.
185,"Tijdens het voorgesprek bekijk je samen de besparingsmogelijkheden, de prijszetting en de financiering. 2."
186,Budgetvriendelijk renoveren gaat samen met verhoogde fiscale voordelen.
187,Bekijken van het financiële plaatje Beschik je niet over voldoende middelen voor een renovatie?
188,"Wanneer de investering terugbetaald is, beschik jij opnieuw over het volledige rendement."
189,"Succesverhalen Succesverhalen van het Pandschap in Brugge, Gent en Mechelen bewijzen dat een zorgeloze renovatie werkt."
190,"Een herenhuis in regio Gent stijgt iedere dag in investeringswaarde, dus verkopen vonden we zonde."
191,"Als de agenda tijdens die zitting niet volledig kan worden afgewerkt, vergadert de Raad voor Maatschappelijk Welzijn de volgende dag(en) verder."
192,Publicaties Van iedere zitting van de raad voor maatschappelijk welzijn worden documenten gepubliceerd op onze raadpleegomgeving .
193,Via de kalender in deze raadpleegomgeving selecteer je de gewenste zitting van de raad voor maatschappelijk welzijn (RMW).
194,"Deze besluiten kan je bekijken via de ​ raadpleegomgeving . (Beeld)verslagen Je kan de beeldfragmenten van de raads- en commissiezittingen live volgen , of achteraf herbekijken."
195,Uiteraard bevatten deze fragmenten alleen opnames van het openbare gedeelte van de zittingen.
196,Klacht bij de toezichthoudende overheid Tegen beslissingen van de gemeenteraad kan men een klacht indienen.
197,"Dit zorgt niet alleen voor meer woonkwaliteit, maar ook voor een betere opvang van overvloedige regen of verkoeling tijdens warme zomerdagen."
198,"Vandaag bestaat het projectgebied uit verschillende, eenvoudige groene pleintjes."
199,"Door de inrichting van de pleintjes te optimaliseren, wordt een samenhangende groenzone gemaakt."
200,Dit zorgt voor een verhoogde verblijfskwaliteit voor de verschillende gebruikers.
201,Daarnaast kan ingezet worden op een maximale verkeersveiligheid voor alle weggebruikers.
202,District Wilrijk 1|2 De doorgang van de Jules Moretuslei naar de Godshuisstraat is momenteel afgesloten. 1|2 Hoe betrekken we de bewoners?
203,"Alvorens to t een definitief plan te komen , worden bewoners via een inspraaktraject betrokken bij de opmaak van een plan."
204,Bewoners krijgen tijdens zo’n traject de kans om aan te geven wat ze goed vinden en wat beter kan.
205,Nadien namen 48 personen deel aan de bevraging voor de evaluatie hiervan.
206,De verkeersaanpassing en het verbinden van de pleintjes draagt de goedkeuring weg van de meerderheid van de bevraagden.
207,Het concept is een ontwerp waarin al enkele zaken vastliggen en waaraan nog enkele zaken kunnen veranderen.
208,Het conceptplan houdt rekening met de verzamelde input van de evaluatie van de pop-up zomertuin.
209,"Binnen dit projectgebied zijn er momenteel 12 parkeerplaatsen, waarvan 9 plaatsen centraal rond het pleintje en 3 plaatsen in de Jules Moretuslei."
210,Het conceptplan Het conceptplan voorziet in totaal ongeveer 800m 2 minder verharding en meer groen.
211,"Een straat ontharden zorgt voor meer woonkwaliteit en helpt ons uitdagingen aan te gaan zoals hete, droge zomers en wateroverlast door hevige regens."
212,Naast het tegengaan van wateroverlast is een groene straat vooral ook fijn voor jezelf.
213,Planten en bloemen houden je straat koel door verdamping en bomen zorgen voor aangename schaduw op een hete dag.
214,"En al dat groen wordt ook gesmaakt door anderen zoals bijen, vlinders, vogels."
215,Gemotoriseerd verkeer zal een keerbeweging maken aan de nieuwe doorlopende groenzone.
216,Voor fietsers en voetgangers worden nieuwe paden voorzien en blijft de doorgang dus behouden.
217,"Ze zorgen ook dat er minder stof en andere luchtverontreiniging is, houden regenwater vast en vergroten de leefkwaliteit in de straat."
218,"De bestaande, grote boom op de kruising van de Kortestraat, Druivenstraat en Karel Pomastraat laten we uitgroeien tot een toekomstboom."
219,"Zo'n toekomstboom staat in een straat of op een plein en krijgt veel ruimte om te groeien, zowel boven als onder de grond."
220,"Een nieuwe uitgebreide groenzone De nieuwe, uitgebreide groenzone wordt helemaal heringericht om het aantrekkelijker te maken voor alle gebruikers."
221,Er komen twee nieuwe speelzones met een ondergrond in zand (180m 2 + 120m 2 ) en een trapveldje van 20m op 30m met voetbaldoeltjes.
222,Er zal een speelzone zijn voor kleinere kinderen (0-3 jaar) en eentje met wat meer uitdaging voor de kinderen vanaf 3 jaar.
223,"Langs het pad worden spelelementen voorzien (rotsblokken, boomstammen,...)."
224,Enkele infiltratiezones zorgen ervoor dat het water ter plaatse kan infiltreren in de bodem.
225,Het reliëf maakt deel uit van het spellandschap en geeft het nieuwe plein een speelse afwerking.
226,"De beplanting bestaat uit een afwisseling van intensief gemaaid gras, gewild gras, lage heesters en (toekomst)bomen."
227,Een voorbeeld van hoe het spellandschap eruit kan zien. 1|2 Een voorbeeld van hoe het spellandschap eruit kan zien. 1|2 Bestaande rij populieren Momenteel wordt het plein aan de noordzijde begrensd door een rij hoge populieren.
228,"Dit wil zeggen dat wanneer een bestaande boom dient gekapt te worden, we deze vervangen door een nieuwe boom."
229,"De nieuwe bomen komen niet in een rij te staan zoals de populieren nu, maar meer kriskras zoals in een park."
230,De bestaande rij populieren aan de noordzijde van het plein. 1|2 Toekomstbeeld van de rij populieren. 1|2 Doorgang Godshuisstraat met Jules Moretuslei Momenteel is de doorgang tussen de Godshuisstraat en de Jules Moretuslei afgesloten.
231,"Om een nieuwe toegang tot de wijk te maken, zal deze opnieuw geopend en heraangelegd worden."
232,Voor fietsers komt er een nieuwe aansluiting met het bestaande fietspad aan de overzijde.
233,Om deze fietsoversteek zo veilig mogelijk te maken wordt de bushalte verplaatst (tegenover de bestaande bushalte aan de overzijde).
234,Er komen twee nieuwe plantvakken en het bestaande plantvak op de hoek wordt groter gemaakt.
235,Aan het begin van de Godshuisstraat wordt de parkeerstrook afgebakend met een nieuwe boom.
236,"De bewoners die aanwezig waren, kregen de kans om ter plaatse feedback te bezorgen."
237,De bewoners willen bij voorkeur niet inboeten op het aantal parkeerplaatsen en willen idealiter nog meer ruimte om te parkeren.
238,Mobiliteit/verkeersveiligheid In de bevraging lezen we dat veel bewoners zich zorgen maken over de doorstekende fietsers.
239,Voor de bushalte wordt gevraagd of deze niet verplaatst kan worden meer richting het kerkhof.
240,Groen Een groot aantal bewoners zijn vragende partij voor meer groen en meer bomen.
241,"Om van het plein een ontmoetingsplek te maken, willen ze graag een petanque toevoegen aan het ontwerp."
242,Veel bewoners zijn wel bezorgd over de inrichting van het plein gezien de huidige drugsproblematiek.
243,"Er wordt gevraagd om alles goed te verlichten en geen ‘verstopplaatsen’ te voorzien (heuvels, struiken,…)."
244,"Rij populieren Wat de keuze van scenario betreft gaat een lichte voorkeur uit naar keuze A, het uitdoofscenario (13 stemmen voor het uitdoofscenario, 10 stemmen voor meteen vervangen)."
245,Ga zelf aan de slag met Groenbouwers en maak je straat klaar voor de toekomst!
246,Samen gaan we voor toekomstbestendige straten met meer groen en minder verharding.
247,"Groenbouwers, een nieuw initiatief van het district Wilrijk, ondersteunt je hierbij op verschillende manieren."
248,Leg bijvoorbeeld een fleurige geveltuin aan met gratis plantjes of haal meer uit je regenwater met een hippe gevelton aan een zeer voordelige prijs .
249,Deze werken verlopen volgens bepaalde afspraken om de hinder te beperken.
250,Vanaf het moment van de toelating heeft het nutsbedrijf nog 8 maanden de tijd om de geplande werken uit te voeren.
251,"Nadat de nutsmaatschappijen een vergunning hebben gekregen, plannen ze de werken in."
252,Door onvoorziene omstandigheden kunnen deze data echter wijzigen en later in de vergunde periode plaatsvinden.
253,"Als de aannemer buiten deze periode werken wil uitvoeren, vraagt hij een nieuwe vergunning aan."
254,Informatie terugvinden Fluvius Op werkenvan.fluvius.be kan je een handig plannetje raadplegen met waar er gewerkt wordt en de timing van de werken.
255,Proximus Proximus installeert in Wilrijk met Fiber een nieuw netwerk dat het groeiend dataverkeer van de toekomst aankan.
256,Storingen melden Bij werken kan het gebeuren dat de toevoer of het signaal wordt onderbroken.
257,"Om woningen veilig toegankelijk te houden, worden loopbrugjes voorzien aan de voordeuren."
258,Het is mogelijk dat inritten en/of garages overdag tijdelijk niet bereikbaar zijn.
259,Bewonersbrief parking Zwembad Ieperman .pdf 290.2 kB Bewonersbrief opgemaakt en verdeeld door Fluvius Kruishofstraat - Heistraat Aannemer TM Waas-Tech voert in opdracht van Fluvius plaatselijk werken uit aan de nutsleidingen.
260,"De parkeerverbodsborden worden per fase geplaatst, zodat bewoners nog parkeerplaatsen ter beschikking hebben."
261,T ijdens de werkzaamheden worden de Kruishofstraat en Heistraat per fase afgesloten voor alle autoverkeer.
